	abbreviation	name	equation	rule	Genes	Proteins	subsystem	reversible	lowbnd	uppbnd	obj_coef	Confidence.Score	EC.Number	Notes	References
629	r_0788	nucleoside diphosphatase	s_0394 + s_0803  <=> s_0423 + s_0794 + s_1322	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
630	r_0789	nucleoside diphosphatase	s_0739 + s_0803  <=> s_0782 + s_0794 + s_1322	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
631	r_0790	nucleoside diphosphatase	s_0803 + s_1538  <=> s_0794 + s_1322 + s_1545	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
632	r_0791	nucleoside diphosphatase	s_0806 + s_1539  <=> s_0797 + s_1325 + s_1546	YEL042W	YEL042W	NA	NA	1	0	1000	0	NA		NA	
633	r_0792	nucleoside diphosphatase	s_0467 + s_0803  <=> s_0526 + s_0794 + s_1322	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
634	r_0793	nucleoside diphosphatase	s_0803 + s_0846  <=> s_0794 + s_0849 + s_1322	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
635	r_0795	nucleoside diphosphate kinase	s_0434 + s_0467  <=> s_0394 + s_0539	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
636	r_0796	nucleoside diphosphate kinase	s_0434 + s_0582  <=> s_0394 + s_0586	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
637	r_0797	nucleoside diphosphate kinase	s_0434 + s_0587  <=> s_0394 + s_0590	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
638	r_0798	nucleoside diphosphate kinase	s_0434 + s_0613  <=> s_0394 + s_0617	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
639	r_0799	nucleoside diphosphate kinase	s_0434 + s_0647  <=> s_0394 + s_0650	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
640	r_0800	nucleoside diphosphate kinase	s_0434 + s_0739  <=> s_0394 + s_0785	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
641	r_0801	nucleoside diphosphate kinase	s_0434 + s_0846  <=> s_0394 + s_0950	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
642	r_0802	nucleoside diphosphate kinase	s_0434 + s_0618  <=> s_0394 + s_0639	YKL067W	YKL067W	NA	NA	1	-1000	1000	0	NA		NA	
643	r_0803	nucleoside diphosphate kinase	s_0434 + s_0652  <=> s_0394 + s_0656	YKL067W	YKL067W	NA	NA	1	-1000	1000	0	NA		NA	
644	r_0804	nucleoside triphosphatase	s_0785 + s_0803  <=> s_0739 + s_0794 + s_1322	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
645	r_0805	nucleoside triphosphatase	s_0803 + s_1559  <=> s_0794 + s_1322 + s_1538	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
646	r_0806	nucleoside triphosphatase	s_0539 + s_0803  <=> s_0467 + s_0794 + s_1322	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
647	r_0807	nucleoside triphosphatase	s_0803 + s_0950  <=> s_0794 + s_0846 + s_1322	YER005W	YER005W	NA	NA	1	0	1000	0	NA		NA	
648	r_0810	nucleoside-diphosphatase (GDP), Golgi	s_0740 + s_0806  <=> s_0783 + s_0797 + s_1325	YEL042W	YEL042W	NA	NA	1	0	1000	0	NA		NA	
649	r_0811	nucleoside-diphosphate kinase (ATP:UDP)	s_0434 + s_1538  <=> s_0394 + s_1559	YKL067W	YKL067W	NA	NA	1	0	1000	0	NA		NA	
650	r_0812	O-acetylhomoserine (thiol)-lyase	s_1150 + s_1233  <=> s_0362 + s_0794 + s_1029	YLR303W	YLR303W	NA	NA	1	0	1000	0	NA		NA	
651	r_0813	O-acetylhomoserine (thiol)-lyase	s_0841 + s_1233  <=> s_0362 + s_0794 + s_1012	YLR303W	YLR303W	NA	NA	1	0	1000	0	NA		NA	
652	r_0815	O-succinylhomoserine lyase (L-cysteine)	s_0981 + s_1241  <=> s_0794 + s_0980 + s_1458	YAL012W	YAL012W	NA	NA	1	-1000	1000	0	NA		NA	
653	r_0816	ornithine carbamoyltransferase	s_0455 + s_1266  <=> s_0794 + s_0979 + s_1322	YJL088W	YJL088W	NA	NA	1	0	1000	0	NA		NA	
654	r_0817	ornithine decarboxylase	s_0794 + s_1266  <=> s_0456 + s_1389	YKL184W	YKL184W	NA	NA	1	0	1000	0	NA		NA	
655	r_0818	ornithine transacetylase	s_0993 + s_1182  <=> s_1192 + s_1268	YMR062C	YMR062C	NA	NA	1	0	1000	0	NA		NA	
656	r_0819	ornithine transaminase	s_0180 + s_1266  <=> s_0991 + s_0997	YLR438W	YLR438W	NA	NA	1	0	0	0	NA		NA	
657	r_0820	orotate phosphoribosyltransferase	s_0633 + s_1270  <=> s_1269 + s_1386	(YML106W OR YMR271C)	YML106W YMR271C	NA	NA	1	-1000	1000	0	NA		NA	
658	r_0821	orotidine-5'-phosphate decarboxylase	s_0794 + s_1270  <=> s_0456 + s_1545	YEL021W	YEL021W	NA	NA	1	0	1000	0	NA		NA	
659	r_0831	oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)	s_0532 + s_1411  <=> s_0627 + s_1464	(YIL125W AND YDR148C AND YFL018C)	YDR148C YFL018C YIL125W	NA	NA	1	0	1000	0	NA		NA	
660	r_0832	oxoglutarate dehydrogenase (lipoamide)	s_0182 + s_0799 + s_1097  <=> s_0460 + s_1411	(YIL125W AND YDR148C AND YFL018C)	YDR148C YFL018C YIL125W	NA	NA	1	0	1000	0	NA		NA	
661	r_0841	pantetheine-phosphate adenylyltransferase	s_0434 + s_0794 + s_1307  <=> s_0197 + s_0633	YGR277C	YGR277C	NA	NA	1	0	1000	0	NA		NA	
662	r_0842	pantothenate kinase	s_0031 + s_0434  <=> s_0017 + s_0394 + s_0794	YDR531W	YDR531W	NA	NA	1	0	1000	0	NA		NA	
663	r_0843	pantothenate synthase	s_0030 + s_0434 + s_0441  <=> s_0031 + s_0423 + s_0633 + s_0794	YIL145C	YIL145C	NA	NA	1	0	1000	0	NA		NA	
664	r_0844	peroxisomal acyl-CoA thioesterase	s_0605 + s_0809  <=> s_0534 + s_0600 + s_0801	YJR019C	YJR019C	NA	NA	1	0	1000	0	NA		NA	
665	r_0845	peroxisomal acyl-CoA thioesterase	s_0809 + s_1076  <=> s_0534 + s_0801 + s_1070	YJR019C	YJR019C	NA	NA	1	0	1000	0	NA		NA	
666	r_0847	peroxisomal acyl-CoA thioesterase	s_0809 + s_1305  <=> s_0534 + s_0801 + s_1291	YJR019C	YJR019C	NA	NA	1	0	1000	0	NA		NA	
667	r_0848	peroxisomal acyl-CoA thioesterase	s_0809 + s_1179  <=> s_0534 + s_0801 + s_1166	YJR019C	YJR019C	NA	NA	1	0	1000	0	NA		NA	
668	r_0849	peroxisomal acyl-CoA thioesterase	s_0809 + s_1457  <=> s_0534 + s_0801 + s_1451	YJR019C	YJR019C	NA	NA	1	0	1000	0	NA		NA	
669	r_0850	peroxisomal acyl-CoA thioesterase	s_0809 + s_1258  <=> s_0534 + s_0801 + s_1253	YJR019C	YJR019C	NA	NA	1	0	1000	0	NA		NA	
670	r_0851	phenylalanine transaminase	s_0180 + s_1032  <=> s_0951 + s_0991	YGL202W	YGL202W	NA	NA	1	-1000	1000	0	NA		NA	
671	r_0852	phenylalanyl-tRNA synthetase	s_0434 + s_1032 + s_1604  <=> s_0423 + s_0633 + s_1314	(YLR060W AND YFL022C)	YFL022C YLR060W	NA	NA	1	0	1000	0	NA		NA	
672	r_0853	phenylalanyl-tRNA synthetase	s_0437 + s_1034 + s_1605  <=> s_0424 + s_0636 + s_1315	YPR047W	YPR047W	NA	NA	1	0	1000	0	NA		NA	
673	r_0854	phenylpyruvate decarboxylase	s_0794 + s_0951  <=> s_0456 + s_1318	YDR380W	YDR380W	NA	NA	1	0	1000	0	NA		NA	
674	r_0855	phopshoribosylaminoimidazole synthetase	s_0302 + s_0434  <=> s_0300 + s_0394 + (2) s_0794 + s_1322	YGL234W	YGL234W	NA	NA	1	0	1000	0	NA		NA	
675	r_0882	phosphoacetylglucosamine mutase	s_1190  <=> s_1189	YEL058W	YEL058W	NA	NA	1	-1000	1000	0	NA		NA	
676	r_0883	phosphoadenylyl-sulfate reductase (thioredoxin)	s_0201 + s_1616  <=> s_0390 + (2) s_0794 + s_1469 + s_1620	((YPR167C AND YGR209C) OR (YLR043C AND YPR167C))	YGR209C YLR043C YPR167C	NA	NA	1	0	1000	0	NA		NA	
677	r_0884	phosphoenolpyruvate carboxykinase	s_0434 + s_1271  <=> s_0394 + s_0456 + s_1360	YKR097W	YKR097W	NA	NA	1	0	0	0	NA		NA	
678	r_0885	phosphoethanolamine cytidyltransferase	s_0539 + s_0794 + s_1239  <=> s_0474 + s_0633	YGR007W	YGR007W	NA	NA	1	0	1000	0	NA		NA	
679	r_0886	phosphofructokinase	s_0434 + s_0557  <=> s_0394 + s_0555 + s_0794	(YMR205C OR (YGR240C AND YMR205C))	YGR240C YMR205C	NA	NA	1	0	1000	0	NA		NA	18682403, 22783546
680	r_0887	phosphofructokinase (s7p)	s_0434 + s_1427  <=> s_0394 + s_0794 + s_1426	(YMR205C OR (YGR240C AND YMR205C))	YGR240C YMR205C	NA	NA	1	0	1000	0	NA		NA	18682403, 22783546
681	r_0888	phosphoglucomutase	s_0568  <=> s_0567	((YMR105C OR YKL127W) AND (YMR105C OR YKL127W OR YMR278W))	YKL127W YMR105C YMR278W	NA	NA	1	-1000	1000	0	NA		NA	23103740
682	r_0889	phosphogluconate dehydrogenase	s_0340 + s_1207  <=> s_0456 + s_0577 + s_1212	(YGR256W OR YHR183W)	YGR256W YHR183W	NA	NA	1	0	1000	0	NA		NA	
683	r_0890	phosphoglucosamine mutase	s_0411  <=> s_0412	YEL058W	YEL058W	NA	NA	1	-1000	1000	0	NA		NA	
684	r_0891	phosphoglycerate dehydrogenase	s_0260 + s_1198  <=> s_0258 + s_0794 + s_1203	(YIL074C OR YER081W)	YER081W YIL074C	NA	NA	1	0	1000	0	NA		NA	
685	r_0892	phosphoglycerate kinase	s_0075 + s_0394  <=> s_0260 + s_0434	YCR012W	YCR012W	NA	NA	1	-1000	1000	0	NA		NA	
686	r_0893	phosphoglycerate mutase	s_0260  <=> s_0188	YKL152C	YKL152C	NA	NA	1	-1000	1000	0	NA		NA	
687	r_0902	phosphomannomutase	s_0573  <=> s_0574	YFL045C	YFL045C	NA	NA	1	-1000	1000	0	NA		NA	
688	r_0903	phosphomethylpyrimidine kinase	s_0268 + s_0434  <=> s_0267 + s_0394	(YPL258C OR YPR121W OR YOL055C)	YOL055C YPL258C YPR121W	NA	NA	1	0	1000	0	NA		NA	
689	r_0904	phosphomevalonate kinase	s_0019 + s_0434  <=> s_0018 + s_0394	YMR220W	YMR220W	NA	NA	1	0	1000	0	NA		NA	
690	r_0905	phosphopantothenate-cysteine ligase	s_0017 + s_0539 + s_0981  <=> s_0526 + s_0633 + s_0794 + s_1188	YIL083C	YIL083C	NA	NA	1	0	1000	0	NA		NA	
691	r_0906	phosphopantothenoylcysteine decarboxylase	s_0794 + s_1188  <=> s_0456 + s_1307	(YKL088W OR (YKL088W AND YKR072C) OR (YKL088W AND YOR054C) OR (YKL088W AND YKR072C AND YOR054C))	YKL088W YKR072C YOR054C	NA	NA	1	0	1000	0	NA		NA	
692	r_0907	phosphopentomutase	s_0415  <=> s_1408	(YMR278W OR YMR105C OR YKL127W)	YKL127W YMR105C YMR278W	NA	NA	1	-1000	1000	0	NA		NA	
693	r_0908	phosphoribosyl amino imidazolesuccinocarbozamide synthetase	s_0434 + s_0973 + s_1364  <=> s_0299 + s_0394 + s_0794 + s_1322	YAR015W	YAR015W	NA	NA	1	0	1000	0	NA		NA	
694	r_0909	phosphoribosyl-AMP cyclohydrolase	s_0078 + s_0803  <=> s_0077	YCL030C	YCL030C	NA	NA	1	0	1000	0	NA		NA	
695	r_0910	phosphoribosyl-ATP pyrophosphatase	s_0326 + s_0803  <=> s_0078 + s_0633 + s_0794	YCL030C	YCL030C	NA	NA	1	0	1000	0	NA		NA	
696	r_0911	phosphoribosylaminoimidazole-carboxylase	s_0300 + s_0434 + s_0456 + s_0803  <=> s_0394 + s_0794 + s_1322 + s_1364	YOR128C	YOR128C	NA	NA	1	0	1000	0	NA		NA	
697	r_0912	phosphoribosylaminoimidazolecarboxamide formyltransferase	s_0120 + s_0403  <=> s_1365 + s_1487	(YMR120C OR YLR028C)	YLR028C YMR120C	NA	NA	1	-1000	1000	0	NA		NA	
698	r_0913	phosphoribosylanthranilate isomerase	s_1187  <=> s_0076	YDR007W	YDR007W	NA	NA	1	0	1000	0	NA		NA	
699	r_0914	phosphoribosylglycinamidine synthetase	s_0327 + s_0434 + s_1003  <=> s_0325 + s_0394 + s_0794 + s_1322	YGL234W	YGL234W	NA	NA	1	0	1000	0	NA		NA	
700	r_0915	phosphoribosylpyrophosphate amidotransferase	s_0803 + s_0999 + s_1386  <=> s_0327 + s_0633 + s_0991	YMR300C	YMR300C	NA	NA	1	0	1000	0	NA		NA	
701	r_0916	phosphoribosylpyrophosphate synthetase	s_0434 + s_1408  <=> s_0423 + s_0794 + s_1386	((YKL181W and YER099C) or (YKL181W and YHL011C) or (YKL181W and YBL068W) or (YER099C and YOL061W) or (YBL068W and YOL068W))	YBL068W YER099C YHL011C YKL181W YOL061W	NA	NA	1	0	1000	0	NA		NA	15280369
702	r_0917	phosphoserine phosphatase (L-serine)	s_0259 + s_0803  <=> s_1039 + s_1322	YGR208W	YGR208W	NA	NA	1	0	1000	0	NA		NA	
703	r_0918	phosphoserine transaminase	s_0258 + s_0991  <=> s_0180 + s_0259	YOR184W	YOR184W	NA	NA	1	0	1000	0	NA		NA	
704	r_0919	phytoceramidase	s_1085 + s_1366  <=> s_0481	YBR183W	YBR183W	NA	NA	1	0	1000	0	NA		NA	
705	r_0920	phytoceramidase	s_0507 + s_1366  <=> s_0484	YDR402C	YDR402C	NA	NA	1	0	1000	0	NA		NA	
706	r_0921	Phytosphingosine phosphate lyase	s_1367  <=> s_0161 + s_1240	YDR294C	YDR294C	NA	NA	1	0	1000	0	NA		NA	
707	r_0922	phytosphingosine synthesis	s_0795 + s_1213 + s_1276 + s_1445  <=> s_0804 + s_1208 + s_1366	YDR297W	YDR297W	NA	NA	1	0	1000	0	NA		NA	
708	r_0929	polyamine oxidase	s_0803 + s_1180 + s_1275  <=> s_0208 + s_0837 + s_1193	YMR020W	YMR020W	NA	NA	1	0	1000	0	NA		NA	
709	r_0935	porphobilinogen synthase	(2) s_0315  <=> s_0794 + (2) s_0803 + s_1372	YGL040C	YGL040C	NA	NA	1	0	1000	0	NA		NA	
710	r_0936	poylamine oxidase	s_0803 + s_1181 + s_1275  <=> s_0208 + s_0837 + s_1180	YMR020W	YMR020W	NA	NA	1	0	1000	0	NA		NA	
711	r_0937	poylamine oxidase	s_0803 + s_1275 + s_1442  <=> s_0208 + s_0837 + s_1439	YMR020W	YMR020W	NA	NA	1	0	1000	0	NA		NA	
712	r_0938	prephenate dehydratase	s_0794 + s_1377  <=> s_0456 + s_0803 + s_0951	YNL316C	YNL316C	NA	NA	1	0	1000	0	NA		NA	
713	r_0939	prephenate dehydrogenase (NADP)	s_1207 + s_1377  <=> s_0204 + s_0456 + s_1212	YBR166C	YBR166C	NA	NA	1	0	1000	0	NA		NA	
714	r_0940	proline oxidase (NAD)	s_0688 + s_1037  <=> s_0119 + s_0690	YLR142W	YLR142W	NA	NA	1	0	1000	0	NA		NA	
715	r_0941	prolyl-tRNA synthetase	s_0434 + s_1035 + s_1606  <=> s_0423 + s_0633 + s_0794 + s_1379	YHR020W	YHR020W	NA	NA	1	0	1000	0	NA		NA	
716	r_0942	protoporphyrinogen oxidase	(3) s_1278 + (2) s_1385  <=> (6) s_0807 + (2) s_1383	YER014W	YER014W	NA	NA	1	0	1000	0	NA		NA	
717	r_0943	purine-nucleoside phosphorylase	s_1218 + s_1322  <=> s_0415 + s_0794 + s_1216	(YDR400W AND YLR209C AND YLR017W)	YDR400W YLR017W YLR209C	NA	NA	1	0	1000	0	NA		NA	
718	r_0949	guanosine phosphorylase	s_0790 + s_1322  <=> s_0415 + s_0787	YLR209C	YLR209C	NA	NA	1	-1000	1000	0	NA		NA	
719	r_0950	guanosine phosphorylase	s_0792 + s_1326  <=> s_0416 + s_0789	YLR209C	YLR209C	NA	NA	1	-1000	1000	0	NA		NA	
720	r_0951	inosine phosphorylase	s_0856 + s_1322  <=> s_0415 + s_0843	YLR209C	YLR209C	NA	NA	1	-1000	1000	0	NA		NA	
721	r_0953	pyridoxal oxidase	s_0419 + (2) s_0803 + (0.5) s_1275 + s_1392  <=> (2) s_0837 + s_1394	YBR035C	YBR035C	NA	NA	1	0	1000	0	NA		NA	
722	r_0954	pyridoxamine 5'-phosphate oxidase	s_0803 + s_1275 + s_1395  <=> s_0419 + s_0837 + s_1393	YBR035C	YBR035C	NA	NA	1	0	1000	0	NA		NA	
723	r_0955	pyridoxine 5'-phosphate oxidase	s_1275 + s_1398  <=> s_0837 + s_1393	YBR035C	YBR035C	NA	NA	1	-1000	1000	0	NA		NA	
724	r_0956	pyridoxine oxidase	s_1275 + s_1396  <=> s_0837 + s_1392	YBR035C	YBR035C	NA	NA	1	0	1000	0	NA		NA	
725	r_0957	pyrroline-5-carboxylate reductase	s_0118 + (2) s_0794 + s_1212  <=> s_1035 + s_1207	YER023W	YER023W	NA	NA	1	0	1000	0	NA		NA	
726	r_0958	pyruvate carboxylase	s_0434 + s_0445 + s_1399  <=> s_0394 + s_0794 + s_1271 + s_1322	(YBR218C OR YGL062W)	YBR218C YGL062W	NA	NA	1	0	1000	0	NA		NA	
727	r_0959	pyruvate decarboxylase	s_0794 + s_1399  <=> s_0359 + s_0456	(YLR134W OR YGR087C OR YLR044C)	YGR087C YLR044C YLR134W	NA	NA	1	0	1000	0	NA		NA	
728	r_0960	pyruvate decarboxylase (acetoin-forming)	s_0359 + s_0794 + s_1399  <=> s_0020 + s_0456	(YLR134W OR YGR087C OR YLR044C)	YGR087C YLR044C YLR134W	NA	NA	1	0	1000	0	NA		NA	
729	r_0961	pyruvate dehydrogenase	s_0532 + s_1200 + s_1401  <=> s_0376 + s_0460 + s_1205	(YBR221C AND YER178W AND YFL018C AND YGR193C AND YNL071W)	YBR221C YER178W YFL018C YGR193C YNL071W	NA	NA	1	0	1000	0	NA		NA	
730	r_0962	pyruvate kinase	s_0394 + s_0794 + s_1360  <=> s_0434 + s_1399	(YOR347C OR YAL038W)	YAL038W YOR347C	NA	NA	1	0	1000	0	NA		NA	
731	r_0963	quinone oxidoreductase	s_0156 + s_0799 + s_1205 + s_1278  <=> s_0154 + s_0807 + s_1200	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	YDR204W YGL119W YGR255C YLR201C YML110C YOL096C YOR125C	NA	NA	1	0	1000	0	NA		NA	
732	r_0964	reduced glutathione via ABC system	s_0434 + s_0750 + s_0803  <=> s_0394 + s_0753 + s_0794 + s_1322	YDR135C	YDR135C	NA	NA	1	0	1000	0	NA		NA	
733	r_0965	riboflavin kinase	s_0434 + s_1405  <=> s_0394 + s_0714 + s_0794	YDR236C	YDR236C	NA	NA	1	0	1000	0	NA		NA	
734	r_0966	riboflavin kinase	s_0437 + s_1407  <=> s_0397 + s_0716 + s_0799	YDR236C	YDR236C	NA	NA	1	0	1000	0	NA		NA	
735	r_0967	riboflavin synthase	s_0158 + s_0314  <=> s_0328 + (2) s_0803 + s_1322	YOL143C	YOL143C	NA	NA	1	0	1000	0	NA		NA	
736	r_0968	riboflavin synthase	(2) s_0328  <=> s_0314 + s_1405	YBR256C	YBR256C	NA	NA	1	0	1000	0	NA		NA	
737	r_0969	ribokinase	s_0434 + s_0575  <=> s_0394 + s_0794 + s_1408	YCR036W	YCR036W	NA	NA	1	0	1000	0	NA		NA	
738	r_0970	ribonucleoside-triphosphate reductase (ATP)	s_0434 + s_1616  <=> s_0586 + s_0803 + s_1620	YGR209C	YGR209C	NA	NA	1	0	1000	0	NA		NA	
739	r_0971	ribonucleoside-triphosphate reductase (CTP)	s_0539 + s_1616  <=> s_0590 + s_0803 + s_1620	YGR209C	YGR209C	NA	NA	1	0	1000	0	NA		NA	
740	r_0972	ribonucleoside-triphosphate reductase (GTP)	s_0785 + s_1616  <=> s_0617 + s_0803 + s_1620	YGR209C	YGR209C	NA	NA	1	0	1000	0	NA		NA	
741	r_0973	ribonucleoside-triphosphate reductase (UTP)	s_1559 + s_1616  <=> s_0656 + s_0803 + s_1620	YGR209C	YGR209C	NA	NA	1	0	1000	0	NA		NA	
742	r_0974	ribonucleotide reductase	s_0394 + s_1616  <=> s_0582 + s_0803 + s_1620	(YER070W OR YGR180C OR YJL026W OR YIL066C)	YER070W YGR180C YIL066C YJL026W	NA	NA	1	0	1000	0	NA		NA	
743	r_0975	ribonucleotide reductase	s_0398 + s_1618  <=> s_0583 + s_0808 + s_1622	(YER070W OR YGR180C OR YJL026W OR YIL066C)	YER070W YGR180C YIL066C YJL026W	NA	NA	1	0	1000	0	NA		NA	
744	r_0976	ribonucleotide reductase	s_0467 + s_1616  <=> s_0587 + s_0803 + s_1620	(YER070W OR YGR180C OR YJL026W OR YIL066C)	YER070W YGR180C YIL066C YJL026W	NA	NA	1	0	1000	0	NA		NA	
745	r_0977	ribonucleotide reductase	s_0468 + s_1618  <=> s_0588 + s_0808 + s_1622	(YER070W OR YGR180C OR YJL026W OR YIL066C)	YER070W YGR180C YIL066C YJL026W	NA	NA	1	0	1000	0	NA		NA	
746	r_0978	ribonucleotide reductase	s_0739 + s_1616  <=> s_0613 + s_0803 + s_1620	(YER070W OR YGR180C OR YJL026W OR YIL066C)	YER070W YGR180C YIL066C YJL026W	NA	NA	1	0	1000	0	NA		NA	
747	r_0979	ribonucleotide reductase	s_0742 + s_1618  <=> s_0614 + s_0808 + s_1622	(YER070W OR YGR180C OR YJL026W OR YIL066C)	YER070W YGR180C YIL066C YJL026W	NA	NA	1	0	1000	0	NA		NA	
748	r_0982	ribose-5-phosphate isomerase	s_0577  <=> s_1408	YOR095C	YOR095C	NA	NA	1	-1000	1000	0	NA		NA	
749	r_0983	ribosylnicotinamide kinase	s_0434 + s_1218  <=> s_0394 + s_0794 + s_1224	YNL129W	YNL129W	NA	NA	1	0	1000	0	NA		NA	
750	r_0984	ribulose 5-phosphate 3-epimerase	s_0577  <=> s_0581	YJL121C	YJL121C	NA	NA	1	-1000	1000	0	NA		NA	
751	r_0985	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase	s_0213 + s_1419  <=> s_0214 + s_0799 + s_1415	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	YDR204W YGL119W YGR255C YLR201C YML110C YOL096C YOR125C	NA	NA	1	0	1000	0	NA		NA	
752	r_0986	S-adenosyl-methionine delta-24-sterol-c-methyltransferase	s_1416 + s_1569  <=> s_0700 + s_0794 + s_1413	YML008C	YML008C	NA	NA	1	0	1000	0	NA		NA	
753	r_0987	S-formylglutathione hydralase	s_0803 + s_1421  <=> s_0722 + s_0750 + s_0794	YJL068C	YJL068C	NA	NA	1	-1000	1000	0	NA		NA	
754	r_0988	saccharopine dehydrogenase (NAD, L-lysine forming)	s_0803 + s_1038 + s_1198  <=> s_0180 + s_0794 + s_1025 + s_1203	YIR034C	YIR034C	NA	NA	1	0	1000	0	NA		NA	
755	r_0989	saccharopine dehydrogenase (NADP, L-glutamate forming)	s_0794 + s_0959 + s_0991 + s_1212  <=> s_0803 + s_1038 + s_1207	YNR050C	YNR050C	NA	NA	1	0	1000	0	NA		NA	
756	r_0990	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	s_1426  <=> s_0551 + s_0629	YKL060C	YKL060C	NA	NA	1	-1000	1000	0	NA		NA	
757	r_0992	serine O-acetyltransferase	s_0373 + s_1039  <=> s_0529 + s_1234	((YDL040C AND YGR147C AND YHR013C) OR (YDL040C AND YGR147C))	YDL040C YGR147C YHR013C	NA	NA	1	0	1000	0	NA		NA	14517307
758	r_0993	serine palmitotransferase	s_1040 + s_1303  <=> s_0231 + s_0457 + s_0530	((YBR058C-A AND YDR062W AND YMR296C) OR (YDR062W AND YMR296C))	YBR058C-A YDR062W YMR296C	NA	NA	1	0	1000	0	NA		NA	
759	r_0995	seryl-tRNA synthetase	s_0434 + s_1039 + s_1607  <=> s_0423 + s_0633 + s_1428	YDR023W or (YDR023W and YHR011W)	YDR023W YHR011W	NA	NA	1	0	1000	0	NA		NA	10375636, 11248251
760	r_0996	shikimate dehydrogenase	s_0211 + s_0794 + s_1212  <=> s_1207 + s_1429	YDR127W	YDR127W	NA	NA	1	0	1000	0	NA		NA	
761	r_0997	shikimate kinase	s_0434 + s_1429  <=> s_0261 + s_0394 + s_0794	YDR127W	YDR127W	NA	NA	1	0	1000	0	NA		NA	
762	r_0998	sirohydrochlorin dehydrogenase	s_1198 + s_1375  <=> s_0794 + s_1203 + s_1431	YBR213W	YBR213W	NA	NA	1	0	1000	0	NA		NA	
763	r_0999	sirohydrochlorin ferrochetalase	s_0924 + s_1431  <=> (3) s_0794 + s_1430	YBR213W	YBR213W	NA	NA	1	0	1000	0	NA		NA	
764	r_1001	spermidine synthase	s_1389 + s_1420  <=> s_0303 + s_0794 + s_1439	YPR069C	YPR069C	NA	NA	1	0	1000	0	NA		NA	
765	r_1002	spermine synthase	s_1420 + s_1439  <=> s_0303 + s_0794 + s_1442	YLR146C	YLR146C	NA	NA	1	0	1000	0	NA		NA	
766	r_1003	sphinganine phosphate lyase	s_1446  <=> s_0825 + s_1240	YDR294C	YDR294C	NA	NA	1	0	1000	0	NA		NA	
767	r_1004	sphingoid base-phosphate phosphatase (phytosphingosine 1-phosphate)	s_0804 + s_1367  <=> s_1323 + s_1366	(YKR053C OR YJL134W)	YJL134W YKR053C	NA	NA	1	0	1000	0	NA		NA	
768	r_1005	sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase)	s_0804 + s_1446  <=> s_1323 + s_1445	(YKR053C OR YJL134W)	YJL134W YKR053C	NA	NA	1	0	1000	0	NA		NA	
769	r_1006	sphingolipid long chain base kinase (phytosphingosine)	s_0435 + s_1366  <=> s_0395 + s_0795 + s_1367	(YOR171C OR YLR260W)	YLR260W YOR171C	NA	NA	1	0	1000	0	NA		NA	
770	r_1007	sphingolipid long chain base kinase (sphinganine)	s_0435 + s_1445  <=> s_0395 + s_0795 + s_1446	(YOR171C OR YLR260W)	YLR260W YOR171C	NA	NA	1	0	1000	0	NA		NA	
771	r_1008	spontaneous cis-aconitate(3-) to trans-aconitate	s_0517  <=> s_1504			NA	NA	1	-1000	1000	0	NA		NA	
772	r_1009	spontaneous cis-aconitate(3-) to trans-aconitate	s_0516  <=> s_1503			NA	NA	1	-1000	1000	0	NA		NA	
773	r_1010	squalene epoxidase (NAD)	s_0795 + s_1204 + s_1276 + s_1448  <=> s_0038 + s_0804 + s_1199	YGR175C	YGR175C	NA	NA	1	0	1000	0	NA		NA	
774	r_1011	squalene epoxidase (NADP)	s_0795 + s_1213 + s_1276 + s_1448  <=> s_0038 + s_0804 + s_1208	YGR175C	YGR175C	NA	NA	1	0	1000	0	NA		NA	
775	r_1012	squalene synthase	(2) s_0190 + s_0794 + s_1212  <=> (2) s_0633 + s_1207 + s_1447	YHR190W	YHR190W	NA	NA	1	0	1000	0	NA		NA	
